"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1331","Whitespace-only input fields validation","chromium","2026-04-03","passed","2026-04-03","Checkout Information Entry and Validation","saucedemo-checkout\checkout-validation.spec.ts","",""
"","1498","Calculate and display correct total amount on cart","chromium","2026-04-03","passed","2026-04-03","Cart Review and Navigation","saucedemo-checkout\cart-totals.spec.ts","",""
"","1432","Back Home button returns to inventory page","chromium","2026-04-03","passed","2026-04-03","Order Completion and Success","saucedemo-checkout\order-completion.spec.ts","",""
"","129","seed","chromium","2026-04-03","passed","2026-04-03","Test group","seed.spec.ts","",""
"","1461","Successful order completion with success message","chromium","2026-04-03","passed","2026-04-03","Order Completion and Success","saucedemo-checkout\order-completion.spec.ts","",""
"","1215","Verify error message formatting and display","chromium","2026-04-03","passed","2026-04-03","UI Elements and Field Validation","saucedemo-checkout\ui-elements.spec.ts","",""
"","1306","Verify shipping information display","chromium","2026-04-03","passed","2026-04-03","Order Overview and Payment Information","saucedemo-checkout\order-overview.spec.ts","",""
"","1343","Form field recovery after validation error","chromium","2026-04-03","passed","2026-04-03","Error Handling and Edge Cases","saucedemo-checkout\error-handling.spec.ts","",""
"","1254","Verify error icons appear next to invalid fields","chromium","2026-04-03","passed","2026-04-03","Error Handling and Edge Cases","saucedemo-checkout\error-handling.spec.ts","",""
"","1432","Multiple items with varying quantities display correctly","chromium","2026-04-03","passed","2026-04-03","Order Overview and Payment Information","saucedemo-checkout\order-overview.spec.ts","",""
"","1373","Long string values in name fields","chromium","2026-04-03","passed","2026-04-03","Checkout Information Entry and Validation","saucedemo-checkout\checkout-validation.spec.ts","",""
"","1410","Invalid checkout information - empty fields error handling","chromium","2026-04-03","passed","2026-04-03","Error Handling and Edge Cases","saucedemo-checkout\error-handling.spec.ts","",""
"","1332","Remove item from cart","chromium","2026-04-03","passed","2026-04-03","Cart Review and Navigation","saucedemo-checkout\cart-totals.spec.ts","",""
"","1276","Leading and trailing spaces in fields","chromium","2026-04-03","passed","2026-04-03","Error Handling and Edge Cases","saucedemo-checkout\error-handling.spec.ts","",""
"","1345","Continue Shopping button returns to inventory page","chromium","2026-04-03","passed","2026-04-03","Cart Review and Navigation","saucedemo-checkout\cart-totals.spec.ts","",""
"","1359","Back button navigation from checkout step 2","chromium","2026-04-03","passed","2026-04-03","Error Handling and Edge Cases","saucedemo-checkout\error-handling.spec.ts","",""
"","2241","All form elements are keyboard accessible","chromium","2026-04-03","passed","2026-04-03","Accessibility and Cross-Browser Compatibility","saucedemo-checkout\accessibility.spec.ts","",""
"","1308","Validate required field - First Name is mandatory","chromium","2026-04-03","passed","2026-04-03","Checkout Information Entry and Validation","saucedemo-checkout\checkout-validation.spec.ts","",""
"","1282","Very long input strings handling","chromium","2026-04-03","passed","2026-04-03","Error Handling and Edge Cases","saucedemo-checkout\error-handling.spec.ts","",""
"","1306","Verify payment information display","chromium","2026-04-03","passed","2026-04-03","Order Overview and Payment Information","saucedemo-checkout\order-overview.spec.ts","",""
"","1328","Cart page navigation - continue shopping returns to inventory","chromium","2026-04-03","passed","2026-04-03","Navigation and User Flow","saucedemo-checkout\navigation-flow.spec.ts","",""
"","2352","Error messages are screen-reader friendly","chromium","2026-04-03","passed","2026-04-03","Accessibility and Cross-Browser Compatibility","saucedemo-checkout\accessibility.spec.ts","",""
"","2127","Checkout flow on Firefox browser - full flow verification","chromium","2026-04-03","skipped","2026-04-03","Accessibility and Cross-Browser Compatibility","saucedemo-checkout\accessibility.spec.ts","",""
"","1259","Verify buttons are clickable and properly labeled","chromium","2026-04-03","passed","2026-04-03","UI Elements and Field Validation","saucedemo-checkout\ui-elements.spec.ts","",""
"","2188","has title","chromium","2026-04-03","passed","2026-04-03","","example.spec.ts","",""
"","2311","View cart items with correct details and pricing","chromium","2026-04-03","passed","2026-04-03","Cart Review and Navigation","saucedemo-checkout\cart-review.spec.ts","",""
"","1335","Cancel button on checkout step 1 preserves cart","chromium","2026-04-03","passed","2026-04-03","Navigation and User Flow","saucedemo-checkout\navigation-flow.spec.ts","",""
"","1430","Display order summary with all items and calculations","chromium","2026-04-03","passed","2026-04-03","Order Overview and Payment Information","saucedemo-checkout\order-overview.spec.ts","",""
"","4","All 9 test files generated successfully","chromium","2026-04-03","passed","2026-04-03","Test Suite Documentation","saucedemo-checkout\TEST_DOCUMENTATION.spec.ts","",""
"","1345","Validate required field - Postal Code is mandatory","chromium","2026-04-03","passed","2026-04-03","Checkout Information Entry and Validation","saucedemo-checkout\checkout-validation.spec.ts","",""
"","1288","Verify cart badge displays correct count","chromium","2026-04-03","passed","2026-04-03","UI Elements and Field Validation","saucedemo-checkout\ui-elements.spec.ts","",""
"","1339","Browser back button functionality","chromium","2026-04-03","passed","2026-04-03","Navigation and User Flow","saucedemo-checkout\navigation-flow.spec.ts","",""
"","1359","Verify accurate subtotal calculation","chromium","2026-04-03","passed","2026-04-03","Order Overview and Payment Information","saucedemo-checkout\order-overview.spec.ts","",""
"","2452","get started link","chromium","2026-04-03","passed","2026-04-03","","example.spec.ts","",""
"","1592","Verify accurate tax calculation","chromium","2026-04-03","passed","2026-04-03","Order Overview and Payment Information","saucedemo-checkout\order-overview.spec.ts","",""
"","1907","Verify field focus and input behavior","chromium","2026-04-03","passed","2026-04-03","UI Elements and Field Validation","saucedemo-checkout\ui-elements.spec.ts","",""
"","1120","Verify all input field types and attributes","chromium","2026-04-03","passed","2026-04-03","UI Elements and Field Validation","saucedemo-checkout\ui-elements.spec.ts","",""
